Longtitude,Latitude,intensity (mm/hr)
121.4625,25.0000,0.0
121.4750,25.0000,0.0
121.4875,25.0000,0.0
121.5000,25.0000,0.0
121.5125,25.0000,0.0
121.5250,25.0000,0.0
121.5375,25.0000,0.0
121.5500,25.0000,0.0
121.5625,25.0000,0.0
121.5750,25.0000,0.0
121.5875,25.0000,0.0
121.6000,25.0000,0.0
121.6125,25.0000,0.0
121.6250,25.0000,0.0
121.6375,25.0000,0.0
121.6500,25.0000,0.0
121.6625,25.0000,0.0
121.6750,25.0000,0.0
121.6875,25.0000,0.0
121.7000,25.0000,0.0
121.7125,25.0000,0.0
121.7250,25.0000,0.0
121.7375,25.0000,0.0
121.7500,25.0000,0.0
121.7625,25.0000,0.0
121.7750,25.0000,0.0
121.7875,25.0000,0.0
121.8000,25.0000,0.0
121.8125,25.0000,0.0
121.8250,25.0000,0.0
121.8375,25.0000,0.0
121.8500,25.0000,0.0
121.8625,25.0000,0.0
121.8750,25.0000,0.0
121.8875,25.0000,0.0
121.9000,25.0000,0.0
121.9125,25.0000,0.0
121.9250,25.0000,0.0
121.9375,25.0000,0.0
121.9500,25.0000,0.0
121.9625,25.0000,0.0
121.9750,25.0000,0.0
121.9875,25.0000,0.0
121.0250,24.9875,0.0
121.0375,24.9875,0.0
121.0500,24.9875,0.0
121.0625,24.9875,0.0
121.0750,24.9875,0.0
121.0875,24.9875,0.0
121.1000,24.9875,0.0
121.1125,24.9875,0.0
121.1250,24.9875,0.0
121.1375,24.9875,0.0
121.1500,24.9875,0.0
121.1625,24.9875,0.0
121.1750,24.9875,0.0
121.1875,24.9875,0.0
121.2000,24.9875,0.0
121.2125,24.9875,0.0
121.2250,24.9875,0.0
121.2375,24.9875,0.0
121.2500,24.9875,0.0
121.2625,24.9875,0.0
121.2750,24.9875,0.0
121.2875,24.9875,0.0
121.3000,24.9875,0.0
121.3125,24.9875,0.0
121.3250,24.9875,0.0
121.3375,24.9875,0.0
121.3500,24.9875,0.0
121.3625,24.9875,0.0
121.3750,24.9875,0.0
